example,APC,instance,condition
"Sie naiver Katzenfreund in Ihrem Bunker, daran muss man doch denken, dass sich die Viecher auch vermehren!",Sie naiver Katzenfreund in Ihrem Bunker,1,apc-external-2Hon-sg-adj+postnom
"Sie tapferer Reisender aus Berlin, dass Sie es da bis hierher geschafft haben!",Sie tapferer Reisender aus Berlin,1,apc-external-2Hon-sg-adj+postnom
"Für Sie stellt das natürlich keine Schwierigkeit dar, Sie Sprachkundige.",Sie Sprachkundige,1,apc-external-2Hon-pl-nomod
"Ich fürchte, dafür müssen Sie den Amtsweg gehen, Sie Hilfsbedürftige.",Sie Hilfsbedürftige,1,apc-external-2Hon-pl-nomod
"Nach all dieser Aufregung sollten Sie sich erstmal ausruhen, Sie edle Helferinnen und Helfer.",Sie edle Helferinnen und Helfer,1,apc-external-2Hon-pl-adj
"Den Hof haben Sie wunderbar gestaltet, Sie fantasievolle Künstlerinnen!",Sie fantasievolle Künstlerinnen,1,apc-external-2Hon-pl-adj
"Sie Bücherwürmer aus Westberlin, das ist ja beeindruckend!",Sie Bücherwürner aus Westberlin,1,apc-external-2Hon-pl-postnom
"Sie Agitatoren aus dem kapitalistischen Ausland, Ihnen werden wir schon noch das Handwerk legen.",Sie Agitatoren aus dem kapitalistischen Ausland,1,apc-external-2Hon-pl-postnom
"Sie tapfere Umweltaktivisten aus der Region, seien Sie gewiss, dass wir alle hinter Ihnen stehen.",Sie tapfere Umweltaktivisten aus der Region,1,apc-external-2Hon-pl-adj+postnom
"Den guten Ausgang haben wir allein Ihnen zu verdanken, Sie sorgfältige Analysten der inkriminierenden Firmendaten.",Sie sorgfältige Analysten der inkriminierenden Firmendaten,1,apc-external-2Hon-pl-adj+postnom
"Ich wunderte mich, warum man uns Verbrecher nannte, obwohl wir uns nichts hatten zu Schulden kommen lassen.",uns Verbrecher,0,noapc
"Du hast gestern mit dem Lehrer gesprochen, der immer sehr hilfsbereit ist.",,0,noapc
"Das haben mir Nachbarn erzählt, die ich vorhin getrofffen habe.",mir Nachbarn,0,noapc
"Sie erzählte von der Reise, die sie vor zwei Jahren unternommen hatte, und zeigte Fotos.",,0,noapc
"Er hat mit seiner Schwester telefoniert, bevor er die Entscheidung bekanntgab.",,0,noapc
"Ich dachte daran, wie gern wir Menschen geholfen hatten, und wurde nostalgisch.",wir Menschen,0,noapc
"Du hast deinen Rucksack verloren, aber eine freundliche Frau gab ihn dir zurück.",,0,noapc
"Wir mussten warten, bis der Bus kam, doch danach ging alles schnell.",,0,noapc
"Sie baten uns Fische mitzubringen, damit es möglichst vielfältige Gerichte beim Festessen gäbe.",uns Fische,0,noapc
"Ich hörte dem Vortrag aufmerksam zu, weil das Thema für mein Projekt wichtig ist.",,0,noapc
"Wir planten das Fest, das am Ende des Monats stattfinden soll, trotz des engen Budgets.",,0,noapc
"Du schliefst während des Films ein, aber am Ende hast du alles gespannt verfolgt.",,0,noapc
"Er nimmt an dem Seminar teil, das viele interessante Gäste eingeladen hat.",,0,noapc
"Ich schrieb den Bericht, den die Abteilung angefordert hatte, und reichte ihn ein.",,0,noapc
"Wir entschieden uns, die Angelegenheit intern zu klären, bevor wir externe Hilfe suchten.",,0,noapc
"Sie rückte die Möbel um, nachdem sie die neue Einrichtung bestellt hatte.",,0,noapc
"Du hast das Angebot angenommen, das dir letzte Woche unterbreitet wurde, und bereits mit der Arbeit begonnen.",,0,noapc
"Wir sahen die Dokumentation, die das Thema aus verschiedenen Perspektiven beleuchtete.",,0,noapc
"Ich fand das Buch, das ich seit Monaten gesucht hatte, in einem kleinen Antiquariat.",,0,noapc
"Er erklärte die Regeln, sodass jeder verstand, worum es ging, und niemand verwirrt war.",,0,noapc
"Wir sprachen lange über die Strategie, die wir in den kommenden Monaten verfolgen wollen.",,0,noapc
"Du bekommst die Unterlagen morgen, sobald die Kollegen das Protokoll fertiggestellt haben.",,0,noapc
"Sie verließ das Haus früh, weil sie einen wichtigen Termin wahrnehmen musste und nicht zu spät kommen wollte.",,0,noapc
"Ich erinnerte mich plötzlich an den Namen des Autors, den ich gesucht hatte.",,0,noapc
"Wir aßen gemeinsam, lachten viel und beschlossen, uns häufiger zu treffen.",,0,noapc
"Er zeigte uns Karten, die die alte Route detailliert beschrieben, und wir planten entsprechend.",,0,noapc
"Du solltest den Bericht überarbeiten, bevor du ihn einreichst, denn einige Details fehlen noch.",,0,noapc
"Wir hörten die Musik, die aus dem Nachbarhaus kam, und freuten uns über die Stimmung.",,0,noapc
"Sie wünschte sich, dass die Veranstaltung ohne Zwischenfälle verlaufen würde, und arbeitete hart daran.",,0,noapc
"Ich überprüfte die Liste, bevor ich sie weiterleitete, um Fehler zu vermeiden.",,0,noapc
"Wir beendeten die Besprechung, nachdem alle Punkte abgehandelt waren, und gingen nach Hause.",,0,noapc
"Du hast dich verändert, seit wir uns das letzte Mal gesehen haben, und das ist gut.",,0,noapc
"Sie planten eine Woche Urlaub, um sich von der Arbeit zu erholen und neue Energie zu tanken.",,0,noapc
"Ich bot meine Hilfe an, weil ich die Erfahrung hatte und gern unterstützen wollte.",,0,noapc
"Wir beobachteten die Vögel, die am frühen Morgen über dem See flogen.",,0,noapc
"Du erinnerst dich sicher an den Ort, an dem alles begonnen hat, und kannst es beschreiben.",,0,noapc
"Sie sammelte die Informationen, die für die Entscheidung relevant waren, und präsentierte die Ergebnisse.",,0,noapc
"Ich machte mir Notizen, während der Redner sprach, um nichts Wichtiges zu vergessen.",,0,noapc
"Wir diskutierten die Optionen, die uns offenstanden, und fanden schließlich einen Kompromiss.",,0,noapc
"Du hast die Aufgabe gut gelöst, obwohl die Anforderungen hoch waren und wenig Zeit blieb.",,0,noapc
"Sie trug das Kleid, das ihr am besten stand, und erhielt viele Komplimente.",,0,noapc
"Ich überlegte lange, bevor ich die Antwort gab, weil die Frage komplex war.",,0,noapc
"Wir planten die nächste Sitzung, bei der wir die Ergebnisse vorstellen wollen.",,0,noapc
"Du solltest dich ausruhen, nachdem du so viel gearbeitet hast, sagte der Arzt.",,0,noapc
"Sie arrangierte die Treffen, damit alle Beteiligten teilnehmen konnten und niemand ausgeschlossen war.",,0,noapc
